gndr,cntry,agea,stflife,lrscale,health,hlthhmp,alcfreq,cgtsmok,slprl,happy,edulvlb,ipsucesa,iprspota,impricha,ipshabta,ipcrtiva,ipudrsta,ipmodsta,iphlppla,hinctnta
1,AT,65,8,5,3,3,3,4,1,8,322,3,2,5,2,3,2,2,2,6
2,AT,21,9,0,2,2,3,5,3,9,423,4,4,4,4,2,2,2,1,1
2,AT,53,10,3,1,3,4,1,3,9,610,3,3,4,3,1,1,3,1,5
2,AT,78,7,5,3,3,7,6,3,7,422,3,3,4,3,3,3,2,2,2
1,AT,64,9,2,2,3,2,1,1,9,322,2,2,4,2,3,2,3,2,77
2,AT,59,8,4,1,3,2,5,2,8,313,2,2,2,1,1,2,3,1,9
2,AT,77,8,4,2,3,7,6,1,7,212,4,3,4,3,3,3,3,2,3
2,AT,69,8,3,2,2,3,4,2,8,720,3,3,6,4,2,3,4,2,10
2,AT,52,8,5,2,3,5,5,1,8,422,1,1,3,1,1,1,2,1,8
2,AT,75,8,5,2,2,7,4,1,7,212,4,5,4,4,4,1,1,3,3
2,AT,44,8,4,2,3,4,5,1,8,422,2,2,4,2,3,1,3,2,4
1,AT,49,5,4,2,3,4,6,1,5,322,1,2,4,2,1,1,2,1,6
2,AT,63,8,77,2,3,7,1,1,7,322,2,2,3,2,2,3,3,3,77
2,AT,76,8,5,3,2,4,6,1,8,212,4,4,4,4,4,4,2,4,77
2,AT,30,3,3,3,3,77,3,1,5,720,4,3,4,5,2,2,5,2,8
2,AT,67,9,3,1,3,7,4,2,9,322,1,88,6,3,1,2,2,1,5
1,AT,41,10,3,1,3,3,6,2,10,322,4,4,5,3,3,2,3,2,8
2,AT,82,6,6,2,3,4,6,1,8,322,4,2,3,2,2,1,2,1,6
1,AT,26,7,4,1,3,4,6,1,8,322,4,3,5,2,3,2,1,1,88
1,AT,42,5,88,2,3,2,4,2,5,212,88,88,88,88,88,88,88,88,1
2,AT,85,8,6,2,3,2,6,1,8,322,2,4,2,1,2,1,1,1,2
1,AT,72,8,6,2,3,5,6,1,7,322,3,2,3,1,2,2,2,1,2
1,AT,31,5,88,1,3,2,1,1,5,322,3,2,3,3,4,3,4,3,2
1,AT,47,9,9,1,3,2,6,1,8,423,1,2,77,1,2,2,3,3,88
2,AT,50,8,5,1,3,4,5,2,8,322,4,3,4,3,3,3,3,3,8
2,AT,60,8,5,3,2,7,2,1,8,313,4,1,6,5,2,2,2,1,3
2,AT,43,8,5,2,3,7,6,1,8,610,2,1,4,1,2,1,3,1,8
2,AT,41,8,6,2,3,2,1,1,8,322,4,2,3,4,3,2,4,2,8
2,AT,35,7,88,1,3,6,2,2,7,313,4,2,4,4,4,3,2,2,4
